1;1;1;1
2;1;7;23
8;1;17;10
18;1;35;21
36;1;49;27
50;1;67;21
68;1;85;23
86;1;89;10
90;1;98;26
99;1;106;26
107;1;121;16
122;1;137;16
138;1;144;12
145;1;157;5
158;1;163;7
164;1;178;25
179;1;193;23
194;1;206;22
207;1;220;22
221;1;234;23
235;1;250;22
1;28;15;50
16;28;30;50
31;28;45;49
46;28;60;50
61;28;75;50
76;28;81;43
82;28;88;50
89;28;104;43
105;28;120;37
121;28;136;43
137;28;148;50
149;28;165;52
166;28;183;49
184;28;198;49
199;28;213;50
214;28;228;49
229;28;242;49
243;28;255;49
1;53;15;75
16;53;30;74
31;53;43;74
44;53;56;75
57;53;73;74
74;53;88;74
89;53;104;74
105;53;119;74
120;53;134;75
135;53;148;74
149;53;165;79
166;53;182;74
183;53;197;75
198;53;214;74
215;53;229;75
230;53;246;74
1;80;18;101
19;80;36;101
37;80;54;101
55;80;70;101
71;80;80;106
81;80;95;104
96;80;106;106
107;80;123;89
124;80;139;83
140;80;148;86
149;80;164;97
165;80;178;102
179;80;191;97
192;80;205;102
206;80;220;97
221;80;233;101
234;80;247;102
1;107;14;128
15;107;27;129
28;107;37;134
38;107;51;128
52;107;65;129
66;107;81;123
82;107;95;123
96;107;110;124
111;107;124;129
125;107;139;129
140;107;151;123
152;107;164;124
165;107;178;129
179;107;192;124
193;107;208;123
209;107;226;123
227;107;242;123
1;135;16;157
17;135;29;151
30;135;43;161
44;135;47;164
48;135;60;161
61;135;76;143
77;135;92;160
